participant_id,story_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score,model_short,model_full,strategy
2,0,2,2,1,2,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
3,0,4,5,5,5,3,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
4,0,2,2,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
6,0,2,1,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
7,0,2,3,1,2,2,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
2,1,4,4,4,4,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
3,1,4,3,4,5,3,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
4,1,4,2,3,2,3,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
6,1,2,2,1,1,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
7,1,3,2,2,2,2,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
2,2,2,4,5,2,4,4,GPT-4,gpt-4,writer_profile
3,2,4,4,5,4,3,4,GPT-4,gpt-4,writer_profile
4,2,4,3,5,4,5,5,GPT-4,gpt-4,writer_profile
6,2,4,3,4,4,3,4,GPT-4,gpt-4,writer_profile
7,2,4,4,5,3,4,5,GPT-4,gpt-4,writer_profile
2,3,2,2,2,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,3,4,3,4,4,3,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,3,2,2,4,3,3,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,3,5,2,2,1,3,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,3,1,2,2,2,2,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,4,2,1,1,1,4,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
3,4,4,3,4,3,3,3,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
4,4,2,2,3,2,3,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
6,4,1,1,3,3,2,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
7,4,1,2,3,1,1,2,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
2,5,4,5,5,2,2,5,GPT-4,gpt-4,writer_profile
3,5,4,5,5,5,5,5,GPT-4,gpt-4,writer_profile
4,5,5,4,4,5,5,5,GPT-4,gpt-4,writer_profile
6,5,5,4,5,4,5,5,GPT-4,gpt-4,writer_profile
7,5,3,5,5,4,5,5,GPT-4,gpt-4,writer_profile
2,6,4,2,3,3,1,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
3,6,5,5,5,5,4,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
4,6,4,4,5,4,5,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
6,6,3,4,3,4,5,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
7,6,2,1,1,2,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,writer_profile
2,7,1,1,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
3,7,1,2,1,2,2,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
4,7,1,1,2,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
6,7,2,1,1,1,1,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
7,7,2,1,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
2,8,5,5,2,5,1,4,GPT-4,gpt-4,plan_write
3,8,4,5,4,4,3,4,GPT-4,gpt-4,plan_write
4,8,4,5,5,5,4,5,GPT-4,gpt-4,plan_write
6,8,2,1,2,4,2,4,GPT-4,gpt-4,plan_write
7,8,4,4,4,3,5,5,GPT-4,gpt-4,plan_write
2,9,2,4,4,4,2,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
3,9,4,3,3,3,3,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
4,9,3,3,4,4,3,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
6,9,3,2,2,4,3,3,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
7,9,2,3,1,1,2,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
2,10,5,5,5,2,1,5,Human-Novice,Human-Novice,
3,10,2,2,3,2,3,5,Human-Novice,Human-Novice,
4,10,2,2,4,4,1,4,Human-Novice,Human-Novice,
6,10,4,1,4,5,4,5,Human-Novice,Human-Novice,
7,10,2,4,2,4,2,4,Human-Novice,Human-Novice,
2,11,1,2,5,2,5,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
3,11,4,3,4,3,4,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
4,11,4,3,5,4,4,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
6,11,4,1,4,1,5,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
7,11,1,2,3,5,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
2,12,4,2,1,1,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
3,12,4,4,4,4,3,4,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
4,12,2,3,2,4,4,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
6,12,1,1,1,1,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
7,12,1,2,1,1,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
2,13,1,2,4,2,2,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
3,13,4,4,4,4,3,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
4,13,2,4,3,5,2,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
6,13,1,1,1,1,2,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
7,13,2,2,2,2,3,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
2,14,1,1,5,2,2,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
3,14,4,3,4,3,3,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
4,14,4,4,5,4,4,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
6,14,2,1,2,2,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
7,14,1,1,1,1,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
2,15,2,1,1,1,4,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
3,15,4,4,4,4,3,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
4,15,3,5,4,4,4,3,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
6,15,1,1,2,2,2,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
7,15,2,2,1,1,2,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,writer_profile
2,16,2,1,2,1,4,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
3,16,4,3,4,3,4,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
4,16,4,3,4,2,3,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
6,16,2,1,1,1,3,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
7,16,5,2,1,2,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
2,17,1,4,4,4,4,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
3,17,4,3,4,3,3,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
4,17,3,5,4,4,2,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
6,17,1,1,2,1,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
7,17,1,1,1,1,1,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,writer_profile
2,18,1,2,4,2,4,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
3,18,4,4,4,4,4,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
4,18,4,5,4,5,4,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
6,18,2,1,3,2,2,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
7,18,3,3,3,2,1,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
2,19,4,2,2,2,1,3,GPT-4,gpt-4,writer_profile
3,19,4,5,4,5,4,4,GPT-4,gpt-4,writer_profile
4,19,4,3,3,4,3,5,GPT-4,gpt-4,writer_profile
6,19,4,3,4,3,3,2,GPT-4,gpt-4,writer_profile
7,19,5,4,4,3,5,5,GPT-4,gpt-4,writer_profile
2,20,2,4,2,4,1,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
3,20,3,2,1,1,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
4,20,4,4,4,5,3,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
6,20,4,4,4,5,4,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
7,20,1,3,2,2,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,writer_profile
2,21,4,2,2,1,2,4,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
3,21,3,3,3,3,1,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
4,21,3,4,3,4,2,2,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
6,21,5,4,4,4,4,5,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
7,21,1,1,1,1,2,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
2,22,4,1,2,1,4,2,GPT-4,gpt-4,plan_write
3,22,2,1,1,1,3,1,GPT-4,gpt-4,plan_write
4,22,4,4,4,4,3,4,GPT-4,gpt-4,plan_write
6,22,4,3,4,4,5,4,GPT-4,gpt-4,plan_write
7,22,5,2,3,1,3,3,GPT-4,gpt-4,plan_write
2,23,2,1,4,1,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
3,23,3,3,2,3,2,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
4,23,3,3,3,3,3,3,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
6,23,3,4,3,2,4,3,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
7,23,3,1,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
2,24,4,2,4,4,4,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
3,24,1,1,1,1,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
4,24,4,5,4,4,3,4,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
6,24,3,4,4,5,5,5,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
7,24,3,3,1,2,1,1,Llama-2-13B,meta-llama_Llama-2-13b-chat-hf,plan_write
2,25,1,4,4,4,2,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
3,25,4,3,4,3,4,1,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
4,25,5,5,5,5,5,5,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
6,25,2,3,2,4,3,3,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
7,25,2,3,2,2,4,2,Llama-2-70B,meta-llama_Llama-2-70b-chat-hf,plan_write
2,26,2,2,2,1,2,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
3,26,1,1,1,1,1,1,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
4,26,4,4,4,5,5,4,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
6,26,4,3,2,3,1,2,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
7,26,1,1,1,1,1,5,Llama-2-7B,meta-llama_Llama-2-7b-chat-hf,plan_write
2,27,1,3,3,3,4,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
3,27,2,2,1,2,1,1,Vicuna-33B,lmsys_vicuna-33b-v1.3,plan_write
