book_id,title,archtypes,plotpoints,themes,keywords,timestamp,llm_annotator
51082.txt, Coming Attraction,"['brave Englishman', 'frightened woman', 'jealous men', 'masked wrestlers']","['attempted murder of a woman', 'woman asks Englishman for help', 'Englishman offers to take woman to England', 'men threaten Englishman and woman', 'Englishman takes action to protect woman', 'woman reveals her true nature']","['jealousy and possessiveness', 'fear and bravery', 'deception and disguise', 'protection and sacrifice']","['America', 'New York City', 'post-apocalyptic setting', 'science fiction', 'masculinity', 'femininity', 'power dynamics']",2024-01-19 11:55:00,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32243.txt, Confidence Game,"['Confident leader', 'Overconfident leader', 'Driven worker', 'Reluctant worker', 'Supportive spouse', 'Self-assured subordinate']","['Employer implements devices to boost employee confidence', 'Devices lead to increased productivity', 'Leader replaces current management with boosted employees', 'New leaders oust original leader', 'Original leader seeks help from former subordinate', 'Subordinate finds success in simplicity']","['Overconfidence leads to downfall', 'Excessive ambition', 'Balance in leadership', 'Value of simplicity', 'Impact of empowerment', 'Loss of control']","['workplace', 'leadership', 'empowerment', 'ambition', 'confidence', 'downfall', 'simplicity']",2024-01-19 11:55:26,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
31038.txt, The Real Hard Sell,"['The Overworked and Unfulfilled Salesperson', 'The Supportive Spouse', 'The Traditional Robot', 'The Innovative Robot', 'The Nonconformist Human']","['The protagonist becomes increasingly unhappy with his sales job despite his success', ""The protagonist's spouse tries to support them but also grows frustrated"", 'The protagonist encounters innovative robots that challenge traditional views', 'The protagonist meets nonconformist humans who live differently', ""The protagonist takes a risk and cuts off a robot's switch"", 'The protagonist and their spouse make a change for a better life']","['Questioning tradition', 'Innovation vs. tradition', 'Work-life balance', 'Personal fulfillment', 'Nonconformity', 'Self-actualization']","['Science fiction', 'Robotics', 'Sales', 'Marriage', 'Innovation', 'Nonconformity']",2024-01-19 11:55:53,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
23210-0.txt, Missing Link,"['Cultural Ambassador', 'Arrogant Superior Race', 'Brave Leader', 'Powerful Authority Figure']","['Spacecraft Capture', 'Alien Encounter', 'Threat of Force', 'Surrender and Cooperation']","['Alien Contact', 'Cultural Differences', 'Peaceful Resolution', 'Superior Technology']","['Gienah III', 'Rediscovery & Reeducation', 'I-A', 'Glass-Blowing Culture']",2024-01-19 11:56:12,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51531.txt, With These Hands,"['struggling artist', 'discouraged artist', 'supportive mentor', 'young artist']","['Artist loses commission due to new technology', 'Artist struggles to find alternative source of income', 'Artist discovers underground community of traditional artists', 'Artist falls in love with a young artist', 'Artist finds a new purpose in teaching and creating art']","['The value of art and craftsmanship', 'The struggle to maintain tradition in a rapidly changing world', 'The importance of community and support', 'The power of love and passion', ""The fulfillment of finding one's purpose""]","['art', 'technology', 'community', 'love', 'purpose', 'tradition', 'craftsmanship', 'mentorship']",2024-01-19 11:56:44,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
3250-0.txt, How Tell a Story and Others,"['Storyteller', 'Comedian', 'Artist']","['Differences between American, English, and French humor', 'Characteristics of the humorous story', 'Importance of delivery style in humor', 'Examples of the comic and humorous story forms']","['Art of storytelling', 'Culture and humor', 'Performance versus print', 'Delivery style and impact', 'Regional differences in humor']","['Humor', 'Storytelling', 'Artistry', 'Culture', 'Comedy']",2024-01-19 11:57:04,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
52776.txt, X Marks the Pedwalk,"['Urban warfare participants', 'Non-violent protesters', 'Government negotiators']","['Escalating violence between two urban groups', 'Aggressive acts against defenseless individuals', 'Government intervention in the conflict', 'Negotiations between the two groups', 'New agreements reached', 'Return to status quo']","['Cycle of violence', 'Urban tension', 'Inequality', 'Government intervention', 'Negotiations and compromise']","['Urban warfare', 'Violence', 'Protest', 'Government', 'Negotiations', 'Compromise', 'Status quo']",2024-01-19 11:57:21,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
51519.txt, The Drug,"['The Skeptical Boss', 'The Overzealous Scientist', 'The Ambitious Underling', 'The Helpful Assistant']","['Discovery of a new chemical compound', 'Testing of the chemical compound on animals', 'Unintended consequences of the chemical compound', 'Decision to suppress the chemical compound', 'Tragic end of the scientist who created the chemical compound']","['Power of science and technology', 'Responsibility towards society', 'Consequences of unchecked ambition', 'Importance of ethical considerations in scientific research']","['Chemistry', 'Pharmaceuticals', 'Experimentation', 'Leadership', 'Corporate culture']",2024-01-19 11:57:40,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
32041.txt, One Man's Poison,"['Stranded astronauts', 'Resourceful scientists', 'Alien culture', 'Hunger and survival']","['Astronauts crash land on an inhospitable planet', 'Discover a warehouse of unknown goods', 'Try to determine if the food is safe to eat', 'Resort to experimentation to survive', 'Discover a method to use the alien technology', 'Utilize the alien transportation to escape']","['Adaptation and innovation', 'Survival through adversity', 'Exploration and discovery', 'Interpretation and understanding of foreign cultures', 'Teamwork and friendship']","['Space exploration', 'Alien species', 'Limited resources', 'Problem solving', 'Determination', 'Perseverance']",2024-01-19 11:58:02,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
42232-0.txt, A Child's Dream of a Star,"['Innocent child', 'Caring sibling', 'Loved one lost', 'Guiding star']","['Childhood innocence and curiosity', 'Illness and loss of a sibling', 'Connection to a guiding star', 'Journey towards the star over a lifetime', 'Reunion with loved ones passed']","['Death and afterlife', 'Love and bond between siblings', 'Connection with a celestial body', 'Passage of time', 'Reunion with loved ones']","['Grief', 'Healing', 'Comfort', 'Hope', 'Longing', 'Memory', 'Protection', 'Reunion', 'Star', 'Transcendence', 'Unconditional love']",2024-01-19 11:58:19,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ
